16
4
4
4
62, 17, 34, 100, 78, 31, 21, 97, 95, 92, 70, 32, 82, 39, 70, 50
70, 83, 25, 34, 56, 89, 91, 55, 12, 17, 17, 67, 50, 45, 100, 37
96, 45, 20, 70, 84, 20, 41, 92, 48, 82, 34, 30, 22, 65, 60, 43
37, 92, 40, 82, 29, 76, 84, 60, 13, 24, 41, 25, 59, 71, 68, 35
258, 184, 279, 257
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 0, 1
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
0, 0, 1, 0
0, 0, 0, 1
0, 1, 0, 0
0, 1, 0, 0
1, 0, 0, 0
0, 0, 0, 1
0, 1, 0, 0
0, 1, 0, 0
0, 0, 0, 1
78, 47, 76, 49
29, 11, 18, 12
35, 91, 55, 92
11, 20, 17, 27
