24
3
3
3
17, 15, 64, 70, 19, 18, 74, 76, 17, 79, 90, 21, 53, 27, 49, 26, 82, 59, 16, 72, 53, 45, 96, 12
34, 76, 39, 24, 55, 40, 90, 44, 54, 53, 36, 16, 83, 61, 81, 20, 69, 81, 29, 44, 36, 41, 49, 76
83, 33, 26, 33, 84, 10, 73, 25, 47, 38, 63, 47, 78, 33, 97, 22, 85, 66, 98, 16, 45, 85, 94, 23
127, 108, 141
0, 1, 0
1, 0, 0
1, 0, 0
0, 0, 1
0, 1, 0
0, 1, 0
0, 0, 1
0, 0, 1
1, 0, 0
0, 0, 1
0, 0, 1
1, 0, 0
1, 0, 0
0, 0, 1
0, 1, 0
0, 0, 1
1, 0, 0
0, 1, 0
1, 0, 0
0, 1, 0
1, 0, 0
0, 1, 0
0, 0, 1
0, 1, 0
64, 53, 76
28, 40, 23
87, 84, 33
24, 18, 23
