24
4
4
4
60, 28, 10, 54, 34, 90, 33, 68, 34, 77, 79, 48, 53, 40, 96, 49, 15, 19, 56, 60, 92, 48, 46, 95
98, 28, 65, 37, 74, 81, 55, 29, 28, 78, 59, 96, 46, 55, 79, 40, 26, 21, 97, 16, 75, 61, 87, 70
63, 79, 38, 94, 11, 57, 38, 96, 51, 77, 47, 20, 33, 83, 26, 84, 58, 21, 32, 82, 25, 53, 52, 90
52, 94, 33, 95, 68, 55, 45, 26, 57, 32, 77, 70, 57, 87, 79, 53, 43, 70, 20, 71, 90, 11, 98, 34
282, 204, 153, 205
0, 0, 0, 1
0, 1, 0, 0
0, 0, 1, 0
1, 0, 0, 0
1, 0, 0, 0
0, 0, 0, 1
0, 1, 0, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 0, 1
1, 0, 0, 0
0, 0, 1, 0
0, 1, 0, 0
1, 0, 0, 0
0, 0, 1, 0
1, 0, 0, 0
0, 1, 0, 0
0, 1, 0, 0
0, 0, 0, 1
0, 1, 0, 0
0, 0, 0, 1
0, 0, 1, 0
1, 0, 0, 0
0, 0, 0, 1
27, 35, 34, 83
18, 31, 18, 16
60, 43, 73, 37
11, 27, 24, 29
