20
4
4
4
17, 77, 40, 48, 18, 22, 36, 25, 85, 13, 46, 62, 27, 31, 69, 73, 21, 69, 88, 25
91, 32, 23, 29, 27, 92, 48, 96, 50, 55, 73, 42, 17, 86, 28, 54, 50, 95, 29, 34
77, 96, 65, 59, 49, 65, 37, 100, 13, 37, 35, 72, 65, 88, 20, 95, 45, 14, 31, 20
11, 32, 44, 65, 79, 69, 58, 39, 44, 28, 61, 100, 45, 81, 43, 63, 67, 41, 41, 74
299, 160, 114, 123
0, 0, 0, 1
0, 0, 0, 1
0, 0, 0, 1
1, 0, 0, 0
0, 0, 1, 0
0, 0, 1, 0
0, 1, 0, 0
0, 0, 0, 1
0, 1, 0, 0
0, 1, 0, 0
0, 1, 0, 0
0, 0, 0, 1
1, 0, 0, 0
0, 0, 1, 0
0, 0, 1, 0
0, 1, 0, 0
1, 0, 0, 0
1, 0, 0, 0
0, 0, 1, 0
1, 0, 0, 0
40, 30, 77, 83
15, 30, 13, 24
47, 38, 54, 73
17, 25, 26, 20
